price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-09-30 16:15:03.343997 -- price updated
2019-09-30 16:18:02.524222 -- price updated
2019-09-30 16:21:02.533246 -- price updated
2019-09-30 16:24:02.899944 -- price updated
2019-09-30 16:27:03.214189 -- price updated
2019-09-30 16:30:03.068014 -- price updated
2019-09-30 16:33:02.214860 -- price updated
2019-09-30 16:36:02.935143 -- price updated
2019-09-30 16:39:02.304519 -- price updated
2019-09-30 16:42:02.839939 -- price updated
2019-09-30 16:45:03.570938 -- price updated
2019-09-30 16:48:02.847439 -- price updated
2019-09-30 16:51:02.784226 -- price updated
2019-09-30 16:54:03.125366 -- price updated
2019-09-30 16:57:02.447565 -- price updated
2019-09-30 17:00:03.309764 -- price updated
2019-09-30 17:03:02.538965 -- price updated
2019-09-30 17:06:02.858854 -- price updated
2019-09-30 17:09:03.123267 -- price updated
2019-09-30 17:12:02.836019 -- price updated
2019-09-30 17:15:03.577385 -- price updated
2019-09-30 17:18:02.856505 -- price updated
2019-09-30 17:21:02.755822 -- price updated
2019-09-30 17:24:03.010902 -- price updated
2019-09-30 17:27:02.388143 -- price updated
2019-09-30 17:30:03.251672 -- price updated
2019-09-30 17:33:02.531874 -- price updated
2019-09-30 17:36:02.976098 -- price updated
2019-09-30 17:39:02.291344 -- price updated
2019-09-30 17:42:03.349624 -- price updated
2019-09-30 17:45:03.291848 -- price updated
2019-09-30 17:48:02.543520 -- price updated
2019-09-30 17:51:02.688990 -- price updated
2019-09-30 17:54:02.992206 -- price updated
2019-09-30 17:57:02.421146 -- price updated
2019-09-30 18:00:03.413940 -- price updated
2019-09-30 18:03:02.668972 -- price updated
2019-09-30 18:06:03.036194 -- price updated
2019-09-30 18:09:02.379640 -- price updated
2019-09-30 18:12:02.315289 -- price updated
2019-09-30 18:15:03.842172 -- price updated
2019-09-30 18:18:02.596972 -- price updated
2019-09-30 18:21:02.589882 -- price updated
2019-09-30 18:24:02.209753 -- error retrieving data
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 40, in <module>
    gas_price.standard_gas_price = avg_price
NameError: name 'avg_price' is not defined
2019-09-30 20:06:10.806136 -- price updated
2019-09-30 20:09:03.043394 -- price updated
2019-09-30 20:12:03.483676 -- price updated
2019-09-30 20:15:03.478931 -- price updated
